id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01K2QAWG3MDEZ9NDS9QH0QFJBJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block1_oneplayer"",""factors"":{""block"":1,""playerCount"":1,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:01:52.1161-04:00,all games finished,2025-08-15T13:02:42.30145-04:00,true,2025-08-15T13:01:52.153684-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:01:52.1161-04:00,ended,2025-08-15T13:02:42.30145-04:00
01K2QAWQJD5D6BKAZVS6RTNAR3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block3_oneplayer"",""factors"":{""block"":3,""playerCount"":1,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:01:59.757969-04:00,all games finished,2025-08-15T13:03:30.696179-04:00,true,2025-08-15T13:01:59.773108-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:01:59.757969-04:00,ended,2025-08-15T13:03:30.696179-04:00
01K2QB0RESFNZQAXX6FAGX5BNW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block1_twoplayer"",""factors"":{""block"":1,""playerCount"":2,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:04:11.737923-04:00,all games finished,2025-08-15T13:05:54.513371-04:00,true,2025-08-15T13:04:11.753615-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:04:11.737923-04:00,ended,2025-08-15T13:05:54.513371-04:00
01K2QB1FMGQTR04DSF89JKEWNV,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block2_twoplayer"",""factors"":{""block"":2,""playerCount"":2,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:04:35.472086-04:00,all games finished,2025-08-15T13:07:03.991462-04:00,true,2025-08-15T13:04:35.489125-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:04:35.472086-04:00,ended,2025-08-15T13:07:03.991462-04:00
01K2QAWKF5V6255MQC4V1D9FQT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block2_oneplayer"",""factors"":{""block"":2,""playerCount"":1,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:01:55.55729-04:00,all games finished,2025-08-15T13:03:06.970721-04:00,true,2025-08-15T13:01:55.575269-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:01:55.55729-04:00,ended,2025-08-15T13:03:06.970721-04:00
01K2QAWXBGEB3B9E2DG8G4BRJN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block4_oneplayer"",""factors"":{""block"":4,""playerCount"":1,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:02:05.680652-04:00,all games finished,2025-08-15T13:03:51.746822-04:00,true,2025-08-15T13:02:05.696739-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:02:05.680652-04:00,ended,2025-08-15T13:03:51.746822-04:00
01K2QB0W7KFPVQDVAAFS7X8AQ2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block2_oneplayer"",""factors"":{""block"":2,""playerCount"":1,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:04:15.603667-04:00,,,true,2025-08-15T13:04:15.615475-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:04:15.603667-04:00,created,2025-08-15T13:04:15.603667-04:00
01K2QB0ZK4CQ96RHTRGDS5PX7K,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block3_oneplayer"",""factors"":{""block"":3,""playerCount"":1,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:04:19.044355-04:00,,,true,2025-08-15T13:04:19.059519-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:04:19.044355-04:00,created,2025-08-15T13:04:19.044355-04:00
01K2QB1V25FDAP7C3B0JZFSW0F,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block3_twoplayer"",""factors"":{""block"":3,""playerCount"":2,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:04:47.17352-04:00,all games finished,2025-08-15T13:08:15.776514-04:00,true,2025-08-15T13:04:47.190445-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:04:47.17352-04:00,ended,2025-08-15T13:08:15.776514-04:00
01K2QB22NMJ7AEWF6QNPWHP7FH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""block4_twoplayer"",""factors"":{""block"":4,""playerCount"":2,""useChat"":""no""}},""count"":1}]}}",2025-08-15T13:04:54.964351-04:00,all games finished,2025-08-15T13:09:33.189061-04:00,true,2025-08-15T13:04:54.978828-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-08-15T13:04:54.964351-04:00,ended,2025-08-15T13:09:33.189061-04:00
