id,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JQ7CB878998XK04ZGARH1FD4,5,2025-03-25T15:29:48.163936-04:00,game ended,2025-03-25T15:29:48.196008-04:00,true,2025-03-25T15:32:20.808224-04:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-03-25T15:32:20.803344-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:53.17142-04:00,true,2025-03-25T15:26:54.025132-04:00,01JQ7CB86QJ3YVTP26018PFK1C,2025-03-25T15:26:53.160559-04:00,aegageag ,2025-03-25T15:26:53.160559-04:00,"{""playerCount"":2,""useChat"":""yes""}",2025-03-25T15:26:53.17142-04:00,chat,2025-03-25T15:26:53.17142-04:00,"{""participantKey"":""1742930811589""}",2025-03-25T15:26:53.17764-04:00
01JQ7FTHPPEHZ4M8BMHV3Z7F8T,8,2025-03-25T16:33:49.207377-04:00,game ended,2025-03-25T16:33:49.291505-04:00,,,,,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:27:40.138459-04:00,true,2025-03-25T16:28:16.712007-04:00,01JQ7FTHNR3N9F58R3S9JZ2C7E,2025-03-25T16:27:40.118796-04:00,dafdfdafdafaf,2025-03-25T16:27:40.118796-04:00,"{""playerCount"":2,""useChat"":""yes""}",2025-03-25T16:27:40.138459-04:00,chat,2025-03-25T16:27:40.138459-04:00,"{""participantKey"":""1742934385713""}",2025-03-25T16:27:40.157808-04:00
01JQ7FTNWNRWVJF0C71QHTPX36,8,2025-03-25T16:33:49.207377-04:00,game ended,2025-03-25T16:33:49.291505-04:00,,,,,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:27:44.417332-04:00,true,2025-03-25T16:28:19.626419-04:00,01JQ7FTNW0RJZ25D3AVGG5G1DJ,2025-03-25T16:27:44.405906-04:00,aaefeaffeafeafeafaf,2025-03-25T16:27:44.405906-04:00,"{""playerCount"":2,""useChat"":""yes""}",2025-03-25T16:27:44.417332-04:00,chat,2025-03-25T16:27:44.417332-04:00,"{""participantKey"":""1742934389948""}",2025-03-25T16:27:44.437631-04:00
01JQ79Y1F0X93MREKSK42WK57A,1,2025-03-25T14:45:10.603328-04:00,game ended,2025-03-25T14:45:10.628221-04:00,,,,,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:43.120174-04:00,true,2025-03-25T14:44:50.445008-04:00,01JQ79Y1E5Q6JJAR2T9P4GCWSX,2025-03-25T14:44:43.104557-04:00,brandon1,2025-03-25T14:44:43.104557-04:00,"{""playerCount"":2}",2025-03-25T14:44:43.120174-04:00,Two Players,2025-03-25T14:44:43.120174-04:00,{},2025-03-25T14:44:43.128236-04:00
01JQ7A0X9VWHMG56DZZ6C8G0D3,5,2025-03-25T14:46:51.574025-04:00,game ended,2025-03-25T14:47:01.455401-04:00,,,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:17.161772-04:00,true,2025-03-25T14:46:23.619285-04:00,01JQ7A0X9C7MX1H2A19KMPDF7E,2025-03-25T14:46:17.147884-04:00,brandon3,2025-03-25T14:46:17.147884-04:00,"{""playerCount"":2}",2025-03-25T14:46:17.161772-04:00,Two Players,2025-03-25T14:46:17.161772-04:00,"{""participantKey"":""1742928367916""}",2025-03-25T14:46:17.169202-04:00
01JQ7BVNYS39EMQNCM5CF4M888,3,2025-03-25T15:23:07.70958-04:00,game terminated,2025-03-25T15:23:07.697107-04:00,,,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:22.948571-04:00,true,2025-03-25T15:18:24.186851-04:00,01JQ7BVNY94QWYP39P6FSVDQX3,2025-03-25T15:18:22.937897-04:00,brandon6,2025-03-25T15:18:22.937897-04:00,"{""playerCount"":2}",2025-03-25T15:18:22.948571-04:00,Two Players,2025-03-25T15:18:22.948571-04:00,"{""participantKey"":""1742930290620""}",2025-03-25T15:18:22.955153-04:00
01JQ7CB5KKV66CPJKXCAAKCGMZ,5,2025-03-25T15:29:48.163936-04:00,game ended,2025-03-25T15:29:48.196008-04:00,true,2025-03-25T15:32:23.125371-04:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-03-25T15:32:23.124484-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:50.495012-04:00,true,2025-03-25T15:26:55.492935-04:00,01JQ7CB5K7FEPW278PN2WTXKVN,2025-03-25T15:26:50.483117-04:00,aegeagagea ,2025-03-25T15:26:50.483117-04:00,"{""playerCount"":2,""useChat"":""yes""}",2025-03-25T15:26:50.495012-04:00,chat,2025-03-25T15:26:50.495012-04:00,{},2025-03-25T15:26:50.504699-04:00
01JQ79Y5Z9AV7N532FHFK18J6P,1,2025-03-25T14:45:10.603328-04:00,game ended,2025-03-25T14:45:10.628221-04:00,,,,,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:47.732286-04:00,true,2025-03-25T14:44:48.714857-04:00,01JQ79Y5YRBCJS675732TAWXE2,2025-03-25T14:44:47.721287-04:00,brandon2,2025-03-25T14:44:47.721287-04:00,"{""playerCount"":2}",2025-03-25T14:44:47.732286-04:00,Two Players,2025-03-25T14:44:47.732286-04:00,"{""participantKey"":""1742928285441""}",2025-03-25T14:44:47.739479-04:00
01JQ7A10KWPME05GFBECKEW81E,5,2025-03-25T14:46:51.574025-04:00,game ended,2025-03-25T14:47:01.455401-04:00,,,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:20.559704-04:00,true,2025-03-25T14:46:22.093161-04:00,01JQ7A10KEHZ410PG9NYFTSTH1,2025-03-25T14:46:20.54101-04:00,brandon4,2025-03-25T14:46:20.54101-04:00,"{""playerCount"":2}",2025-03-25T14:46:20.559704-04:00,Two Players,2025-03-25T14:46:20.559704-04:00,"{""participantKey"":""1742928369670""}",2025-03-25T14:46:20.57378-04:00
01JQ7BVGK7FDRWHRTPF6J6NZNP,3,2025-03-25T15:23:07.70958-04:00,game terminated,2025-03-25T15:23:07.697107-04:00,,,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:17.459128-04:00,true,2025-03-25T15:18:25.788099-04:00,01JQ7BVGJMAZBA7YHSF22BT084,2025-03-25T15:18:17.447759-04:00,brandon5,2025-03-25T15:18:17.447759-04:00,"{""playerCount"":2}",2025-03-25T15:18:17.459128-04:00,Two Players,2025-03-25T15:18:17.459128-04:00,"{""participantKey"":""1742930291323""}",2025-03-25T15:18:17.467178-04:00
